GROUPO,AÑO,MIN,MAX,MED,LAST
-1094580753,2015,"2015-11-14 00:00:00","2015-11-20 00:00:00",1.0000,411
-1094109629,2015,"2015-02-19 00:00:00","2015-12-24 00:00:00",13.4348,377
-1088874467,2016,"2016-12-20 00:00:00","2016-12-24 00:00:00",2.5000,11
-1080283232,2016,"2016-11-01 00:00:00","2016-11-02 00:00:00",0.3333,63
-1062856099,2015,"2015-09-07 00:00:00","2015-10-05 00:00:00",2.9000,457
-1062159675,2015,"2015-10-05 00:00:00","2015-11-09 00:00:00",6.0000,422
-1058261500,2016,"2016-10-22 00:00:00","2016-12-25 00:00:00",7.2222,10
-1054625201,2016,"2016-09-26 00:00:00","2016-10-14 00:00:00",1.9000,82
-1050220134,2016,"2016-10-20 00:00:00","2016-11-03 00:00:00",5.0000,62
-1049740294,2016,"2016-11-28 00:00:00","2016-12-18 00:00:00",1.6154,17
-1023710405,2016,"2016-03-08 00:00:00","2016-03-11 00:00:00",1.0000,299
-1022475437,2016,"2016-12-08 00:00:00","2016-12-12 00:00:00",2.5000,23
-1008692982,2014,"2014-12-07 00:00:00","2014-12-28 00:00:00",2.7500,738
-1008692982,2015,"2015-01-04 00:00:00","2015-03-15 00:00:00",3.2273,661
-1002933835,2016,"2016-11-12 00:00:00","2016-11-12 00:00:00",1.0000,53
-998567018,2015,"2015-09-23 00:00:00","2015-12-24 00:00:00",4.0435,377
-998567018,2016,"2016-11-09 00:00:00","2016-12-21 00:00:00",3.3077,14
-996514088,2014,"2014-07-08 00:00:00","2014-07-08 00:00:00",1.0000,911
-993822550,2016,"2016-12-11 00:00:00","2016-12-12 00:00:00",1.0000,23
-975858496,2013,"2013-12-03 00:00:00","2013-12-25 00:00:00",5.7500,1106
-975858496,2014,"2014-01-01 00:00:00","2014-09-07 00:00:00",11.3636,850
-975858496,2015,"2015-07-12 00:00:00","2015-10-12 00:00:00",6.6429,450
-975858496,2016,"2016-06-17 00:00:00","2016-06-19 00:00:00",0.2308,199
-975435787,2014,"2014-10-04 00:00:00","2014-12-20 00:00:00",7.0909,746
